Name,Position,Age,Team_from,League_from,Team_to,League_to,Season,Market_value,Transfer_fee
Maksim Romashchenko,Midfielder,28,Trabzonspor,Süper Lig,Dinamo Moscow,Premier Liga,04-05,2200000,1600000
Tobias Linderoth,Midfielder,25,Everton,Premier League,FC Copenhagen,Superligaen,04-05,NA,1600000
Dragan Mladenovic,Midfielder,28,Red Star, Serbia,Rangers,Premiership,04-05,NA,1600000
Niko Kranjcar,Midfielder,20,Dinamo Zagreb, Croatia,Hajduk Split, Croatia,04-05,5000000,1500000
Juan Pablo Sorín,Defender,28,Cruzeiro, Brazil,Villarreal CF,LaLiga,04-05,4000000,1500000
Élson,Midfielder,23,Palmeiras,Série A,VfB Stuttgart,1.Bundesliga,04-05,1200000,1500000
Damani Ralph,Forward,24,Chicago Fire,MLS,Rubin Kazan,Premier Liga,04-05,1000000,1500000
Giannis Skopelitis,Midfielder,26,Egaleo AO,Super League,Portsmouth,Premier League,04-05,800000,1500000
Atiba Hutchinson,Midfielder,21,Östers IF, Sweden,Helsingborg,Allsvenskan,04-05,50000,1500000
Khalid Boulahrouz,Defender,22,RKC Waalwijk,Eredivisie,Hamburger SV,1.Bundesliga,04-05,NA,1500000
Rigobert Song,Defender,28,Lens,Ligue 1,Galatasaray,Süper Lig,04-05,NA,1500000
Gilberto,Midfielder,28,São Caetano, Brazil,Hertha BSC,1.Bundesliga,04-05,NA,1500000
Jérémie Bréchet,Defender,24,Inter,Serie A,Real Sociedad,LaLiga,04-05,NA,1500000
Ben Thatcher,Defender,28,Leicester,Championship,Man City,Premier League,04-05,NA,1500000
Sylvinho,Defender,30,Celta de Vigo,LaLiga2,FC Barcelona,LaLiga,04-05,NA,1500000
Facundo Quiroga,Defender,26,Sporting CP,Liga NOS,VfL Wolfsburg,1.Bundesliga,04-05,NA,1500000
Michael Essien,Midfielder,22,Olympique Lyon,Ligue 1,Chelsea,Premier League,05-06,45000000,38000000
Shaun Wright-Phillips,Midfielder,23,Man City,Premier League,Chelsea,Premier League,05-06,9500000,31500000
Sergio Ramos,Defender,19,Sevilla FC,LaLiga,Real Madrid,LaLiga,05-06,27000000,27000000
Michael Owen,Forward,25,Real Madrid,LaLiga,Newcastle,Premier League,05-06,22000000,25000000
Alberto Gilardino,Forward,23,Parma,Serie A,AC Milan,Serie A,05-06,20000000,25000000
Robinho,Midfielder,21,Santos FC,Série A,Real Madrid,LaLiga,05-06,25000000,24000000
Patrick Vieira,Midfielder,29,Arsenal,Premier League,Juventus,Serie A,05-06,35000000,20000000
Júlio Baptista,Midfielder,23,Sevilla FC,LaLiga,Real Madrid,LaLiga,05-06,25000000,20000000
Albert Luque,Midfielder,27,Dep. La Coruña,LaLiga,Newcastle,Premier League,05-06,20000000,20000000
Maniche,Midfielder,27,FC Porto,Liga NOS,Dinamo Moscow,Premier Liga,05-06,18000000,16000000
Wálter Samuel,Defender,27,Real Madrid,LaLiga,Inter,Serie A,05-06,17000000,16000000
Fred,Forward,21,Cruzeiro,Série A,Olympique Lyon,Ligue 1,05-06,7500000,15600000
Jermaine Jenas,Midfielder,22,Newcastle,Premier League,Spurs,Premier League,05-06,9000000,15000000
Aleksandr Hleb,Midfielder,24,VfB Stuttgart,1.Bundesliga,Arsenal,Premier League,05-06,8500000,15000000
Asier del Horno,Defender,24,Athletic Bilbao,LaLiga,Chelsea,Premier League,05-06,12000000,12000000
David Pizarro,Midfielder,25,Udinese Calcio,Serie A,Inter,Serie A,05-06,12000000,12000000
David Villa,Forward,23,Real Zaragoza,LaLiga,Valencia CF,LaLiga,05-06,12000000,12000000
Mohamed Sissoko,Midfielder,20,Valencia CF,LaLiga,Liverpool,Premier League,05-06,4000000,12000000
Javier Mascherano,Midfielder,21,River Plate,Torneo Final,Corinthians,Série A,05-06,11800000,11800000
Dean Ashton,Forward,22,Norwich,Championship,West Ham,Premier League,05-06,6500000,10890000
Peter Crouch,Forward,24,Southampton,Championship,Liverpool,Premier League,05-06,10500000,10500000
Nemanja Vidic<U+200E>,Defender,24,Spartak Moscow,Premier Liga,Man Utd,Premier League,05-06,8500000,10500000
Theo Walcott,Midfielder,16,Southampton,Championship,Arsenal,Premier League,05-06,2500000,10500000
Lucho González,Midfielder,24,River Plate,Torneo Final,FC Porto,Liga NOS,05-06,6000000,10250000
Tiago,Midfielder,24,Chelsea,Premier League,Olympique Lyon,Ligue 1,05-06,10000000,10100000
Luca Toni,Forward,28,US Palermo,Serie A,Fiorentina,Serie A,05-06,15000000,10000000
Luís Fabiano,Forward,24,FC Porto,Liga NOS,Sevilla FC,LaLiga,05-06,10000000,10000000
Georgios Seitaridis,Defender,24,FC Porto,Liga NOS,Dinamo Moscow,Premier Liga,05-06,8000000,10000000
Emmanuel Adebayor,Forward,21,Monaco,Ligue 1,Arsenal,Premier League,05-06,7500000,10000000
Martin Petrov,Midfielder,26,VfL Wolfsburg,1.Bundesliga,Atlético Madrid,LaLiga,05-06,7000000,10000000
Pepe Reina,Goalkeeper,22,Villarreal CF,LaLiga,Liverpool,Premier League,05-06,4500000,9800000
Yakubu Aiyegbeni,Forward,22,Portsmouth,Premier League,Middlesbrough,Premier League,05-06,9500000,9750000
Mateja Kezman,Forward,26,Chelsea,Premier League,Atlético Madrid,LaLiga,05-06,13500000,9000000
Andy van der Meyde,Midfielder,25,Inter,Serie A,Everton,Premier League,05-06,12500000,9000000
Scott Parker,Midfielder,24,Chelsea,Premier League,Newcastle,Premier League,05-06,11000000,9000000
Klaas-Jan Huntelaar,Forward,22,Heerenveen,Eredivisie,AFC Ajax,Eredivisie,05-06,4750000,9000000
Milan Baros,Forward,23,Liverpool,Premier League,Aston Villa,Premier League,05-06,17500000,8840000
Daniel Agger,Defender,21,Bröndby IF,Superligaen,Liverpool,Premier League,05-06,400000,8760000
Marek Jankulovski,Defender,28,Udinese Calcio,Serie A,AC Milan,Serie A,05-06,20000000,8500000
Valérien Ismaël,Defender,29,Werder Bremen,1.Bundesliga,Bayern Munich ,1.Bundesliga,05-06,8500000,8500000
Bonaventure Kalou,Midfielder,27,AJ Auxerre,Ligue 1,Paris SG,Ligue 1,05-06,7500000,8500000
Georgios Samaras,Midfielder,20,Heerenveen,Eredivisie,Man City,Premier League,05-06,3000000,8500000
Miguel,Defender,25,Benfica,Liga NOS,Valencia CF,LaLiga,05-06,15000000,8000000
Andrea Caracciolo,Forward,23,Brescia,Serie B,US Palermo,Serie A,05-06,8000000,8000000
Patrice Evra,Defender,24,Monaco,Ligue 1,Man Utd,Premier League,05-06,6500000,8000000
Stephen Appiah,Midfielder,24,Juventus,Serie A,Fenerbahce,Süper Lig,05-06,6000000,8000000
Fernandinho,Midfielder,20,Atlético-PR,Série A,Shakhtar D.,Premier Liga,05-06,500000,7800000
Giorgio Chiellini,Defender,20,Fiorentina,Serie A,Juventus,Serie A,05-06,9000000,7700000
John Carew,Forward,25,Besiktas,Süper Lig,Olympique Lyon,Ligue 1,05-06,7000000,7600000
Jon Dahl Tomasson,Forward,28,AC Milan,Serie A,VfB Stuttgart,1.Bundesliga,05-06,15000000,7500000
Craig Bellamy,Midfielder,26,Newcastle,Premier League,Blackburn,Premier League,05-06,9000000,7500000
Benoît Pedretti,Midfielder,24,Marseille,Ligue 1,Olympique Lyon,Ligue 1,05-06,9000000,7500000
Domenico Morfeo,Midfielder,29,Inter,Serie A,Parma,Serie A,05-06,6000000,7500000
Stephen Makinwa,Forward,22,Atalanta,Serie B,US Palermo,Serie A,05-06,5000000,7500000
Ji-seong Park,Midfielder,24,PSV Eindhoven,Eredivisie,Man Utd,Premier League,05-06,5000000,7300000
Mamadou Niang,Forward,25,R. Strasbourg,Ligue 1,Marseille,Ligue 1,05-06,5000000,7000000
Kevin Kuranyi,Forward,23,VfB Stuttgart,1.Bundesliga,FC Schalke 04,1.Bundesliga,05-06,8000000,6900000
Per Kröldrup,Defender,25,Udinese Calcio,Serie A,Everton,Premier League,05-06,7000000,6800000
Frédéric Kanouté,Forward,27,Spurs,Premier League,Sevilla FC,LaLiga,05-06,7500000,6500000
Henri Camara,Forward,28,Wolves,Championship,Wigan,Premier League,05-06,3500000,6450000
Jan Kromkamp,Defender,24,AZ Alkmaar,Eredivisie,Villarreal CF,LaLiga,05-06,8000000,6000000
John Utaka,Midfielder,23,Lens,Ligue 1,Stade Rennais,Ligue 1,05-06,7000000,6000000
Camel Meriem,Midfielder,25,G. Bordeaux,Ligue 1,Monaco,Ligue 1,05-06,6000000,6000000
Benjani,Forward,27,AJ Auxerre,Ligue 1,Portsmouth,Premier League,05-06,4000000,6000000
Joseph Enakarhire,Defender,22,Sporting CP,Liga NOS,Dinamo Moscow,Premier Liga,05-06,2250000,6000000
Manuel Pasqual,Defender,23,Arezzo,Serie B,Fiorentina,Serie A,05-06,1700000,6000000
Valon Behrami,Midfielder,20,Genoa,Serie C - A,Lazio,Serie A,05-06,500000,6000000
Yasser Al-Qahtani,Forward,22,Al Qadisiyah, Saudi Arabia,Hilal, Saudi Arabia,05-06,NA,6000000
Emerson Sheik,Midfielder,26,Urawa Reds,J1 League,Al Sadd, Qatar,05-06,NA,6000000
Antonio Cassano,Forward,23,AS Roma,Serie A,Real Madrid,LaLiga,05-06,24000000,5500000
Riccardo Montolivo,Midfielder,20,Atalanta,Serie B,Fiorentina,Serie A,05-06,5000000,5500000
Markus Rosenberg,Forward,22,Malmö FF,Allsvenskan,AFC Ajax,Eredivisie,05-06,5500000,5300000
Phil Neville,Defender,28,Man Utd,Premier League,Everton,Premier League,05-06,5000000,5300000
Simon Davies,Midfielder,25,Spurs,Premier League,Everton,Premier League,05-06,5500000,5250000
Slobodan Rajkovic,Defender,16,OFK Beograd,SuperLiga,Chelsea,Premier League,05-06,NA,5200000
Rafael van der Vaart,Midfielder,22,AFC Ajax,Eredivisie,Hamburger SV,1.Bundesliga,05-06,8000000,5100000
Emre Belözoglu,Midfielder,24,Inter,Serie A,Newcastle,Premier League,05-06,12000000,5000000
Torsten Frings,Midfielder,28,Bayern Munich ,1.Bundesliga,Werder Bremen,1.Bundesliga,05-06,9000000,5000000
Maxi Rodríguez,Midfielder,24,Espanyol,LaLiga,Atlético Madrid,LaLiga,05-06,7000000,5000000
Timmy Simons,Midfielder,28,Club Brugge,Jupiler Pro League,PSV Eindhoven,Eredivisie,05-06,5000000,5000000
Sylvain Monsoreau,Defender,24,FC Sochaux,Ligue 1,Olympique Lyon,Ligue 1,05-06,5000000,5000000
Jô,Forward,18,Corinthians,Série A,CSKA Moscow,Premier Liga,05-06,5000000,5000000
Rafinha,Defender,19,Coritiba FC,Série A,FC Schalke 04,1.Bundesliga,05-06,4500000,5000000
Jérémy Mathieu,Defender,21,FC Sochaux,Ligue 1,Toulouse,Ligue 1,05-06,3500000,5000000
Carlos Diogo,Defender,21,River Plate,Torneo Final,Real Madrid,LaLiga,05-06,2500000,5000000
Thomas Kahlenberg,Midfielder,22,Bröndby IF,Superligaen,AJ Auxerre,Ligue 1,05-06,1500000,5000000
Barreto,Forward,19,Treviso,Serie A,Udinese Calcio,Serie A,05-06,1000000,5000000
Michele Canini,Defender,20,Atalanta,Serie B,Cagliari Calcio,Serie A,05-06,250000,5000000
El-Hadji Diouf,Forward,24,Liverpool,Premier League,Bolton,Premier League,05-06,6500000,4800000
Wilfred Bouma,Defender,27,PSV Eindhoven,Eredivisie,Aston Villa,Premier League,05-06,5000000,4700000
Tom Huddlestone,Midfielder,18,Derby,Championship,Spurs,Premier League,05-06,4700000,4700000
Mikael Forssell,Forward,24,Chelsea,Premier League,Birmingham,Premier League,05-06,7000000,4500000
Mozart,Midfielder,25,Reggina,Serie A,Spartak Moscow,Premier Liga,05-06,5000000,4500000
Igor Semshov,Midfielder,27,Torpedo Moscow,Premier Liga,Dinamo Moscow,Premier Liga,05-06,4000000,4500000
Martin Stranzl,Defender,25,VfB Stuttgart,1.Bundesliga,Spartak Moscow,Premier Liga,05-06,3500000,4500000
Darren Bent,Forward,21,Ipswich,Championship,Charlton,Premier League,05-06,3500000,4500000
Nathan Ellington,Forward,24,Wigan,Premier League,West Brom,Premier League,05-06,2250000,4500000
Lima,Forward,23,Atlético-PR,Série A,Ittihad, Saudi Arabia,05-06,200000,4500000
Curtis Davies,Defender,20,Luton Town,Championship,West Brom,Premier League,05-06,NA,4500000
Lassana Diarra,Midfielder,20,AC Le Havre,Ligue 2,Chelsea,Premier League,05-06,NA,4500000
Shunsuke Nakamura,Midfielder,27,Reggina,Serie A,Celtic,Premiership,05-06,2500000,4200000
Ruslan Rotan,Midfielder,23,Dnipro,Premier Liga,Dynamo Kyiv,Premier Liga,05-06,NA,4200000
Emiliano Bonazzoli,Forward,26,Reggina,Serie A,Parma,Serie A,05-06,4000000,4150000
Robert Earnshaw,Forward,24,West Brom,Premier League,Norwich,Championship,05-06,5300000,4130000
Costinha,Midfielder,30,FC Porto,Liga NOS,Dinamo Moscow,Premier Liga,05-06,15000000,4000000
Per Kröldrup,Defender,26,Everton,Premier League,Fiorentina,Serie A,05-06,7250000,4000000
Cicinho,Defender,25,São Paulo,Série A,Real Madrid,LaLiga,05-06,5000000,4000000
Edwin van der Sar,Goalkeeper,34,Fulham,Premier League,Man Utd,Premier League,05-06,4750000,4000000
Pablo García,Midfielder,28,CA Osasuna,LaLiga,Real Madrid,LaLiga,05-06,4250000,4000000
Simon Vukcevic,Midfielder,19,Partizan,SuperLiga,Saturn,Premier Liga,05-06,4000000,4000000
Reinaldo,Forward,26,Paris SG,Ligue 1,Kashiwa Reysol,J1 League,05-06,4000000,4000000
Andreas Ivanschitz,Midfielder,22,Rapid Vienna,Bundesliga,RB Salzburg,Bundesliga,05-06,3800000,4000000
Vladimir Bystrov,Midfielder,21,Zenit S-Pb,Premier Liga,Spartak Moscow,Premier Liga,05-06,3300000,4000000
Eduardo Costa,Midfielder,22,Marseille,Ligue 1,Espanyol,LaLiga,05-06,3000000,4000000
Lorik Cana,Defender,22,Paris SG,Ligue 1,Marseille,Ligue 1,05-06,2800000,4000000
Mike Hanke,Forward,21,FC Schalke 04,1.Bundesliga,VfL Wolfsburg,1.Bundesliga,05-06,1750000,4000000
Alex Song,Midfielder,17,SC Bastia,Ligue 2,Arsenal,Premier League,05-06,1250000,4000000
Aleksandr Samedov,Midfielder,20,Spartak Moscow,Premier Liga,Loko Moscow,Premier Liga,05-06,150000,4000000
Patrick Müller,Defender,29,FC Basel,Super League,Olympique Lyon,Ligue 1,05-06,3000000,3800000
Yossi Benayoun,Midfielder,25,Racing,LaLiga,West Ham,Premier League,05-06,4000000,3750000
Tolga Seyhan,Defender,28,Trabzonspor,Süper Lig,Shakhtar D.,Premier Liga,05-06,3500000,3750000
Paul Scharner,Defender,25,SK Brann,Eliteserien,Wigan,Premier League,05-06,3000000,3670000
Darius Vassell,Forward,25,Aston Villa,Premier League,Man City,Premier League,05-06,5750000,3600000
Elvis Abbruscato,Forward,25,Arezzo,Serie B,Torino,Serie B,05-06,700000,3600000
Ewerthon,Forward,24,Bor. Dortmund,1.Bundesliga,Real Zaragoza,LaLiga,05-06,12000000,3500000
Aílton,Forward,32,FC Schalke 04,1.Bundesliga,Besiktas,Süper Lig,05-06,8000000,3500000
Deivid,Forward,25,Santos FC,Série A,Sporting CP,Liga NOS,05-06,3500000,3500000
Grzegorz Rasiak,Forward,26,Derby,Championship,Spurs,Premier League,05-06,3500000,3500000
Thiago Silva,Defender,20,FC Porto,Liga NOS,Dinamo Moscow,Premier Liga,05-06,3500000,3500000
Alberto Rivera,Midfielder,27,Levante UD,LaLiga2,Real Betis,LaLiga,05-06,800000,3500000
Grafite,Forward,26,São Paulo,Série A,Le Mans,Ligue 1,05-06,NA,3500000
Jonás Gutiérrez,Midfielder,22,Vélez Sarsfield,Torneo Final,RCD Mallorca,LaLiga,05-06,NA,3500000
Pablo Zabaleta,Defender,20,San Lorenzo,Torneo Final,Espanyol,LaLiga,05-06,NA,3500000
Bryan Bergougnoux,Midfielder,22,Olympique Lyon,Ligue 1,Toulouse,Ligue 1,05-06,2500000,3400000
Filip Holosko,Midfielder,22,Slovan Liberec,HET Liga,Manisaspor,Süper Lig,05-06,NA,3300000
Tomas Jun,Forward,22,Sparta Praha,HET Liga,Trabzonspor,Süper Lig,05-06,4000000,3250000
Danny Murphy,Midfielder,28,Charlton,Premier League,Spurs,Premier League,05-06,5300000,3210000
Vikash Dhorasoo,Midfielder,31,AC Milan,Serie A,Paris SG,Ligue 1,05-06,4000000,3200000
Fran Mérida,Midfielder,15,Barcelona Yth., Spain,Arsenal U18, England,05-06,NA,3200000
Maciej Zurawski,Forward,28,Wisla Kraków,Ekstraklasa,Celtic,Premiership,05-06,5000000,3100000
Clinton Morrison,Forward,26,Birmingham,Premier League,Crystal Palace,Championship,05-06,7000000,3000000
Jesper Grönkjaer,Midfielder,27,Atlético Madrid,LaLiga,VfB Stuttgart,1.Bundesliga,05-06,6500000,3000000
Santos,Forward,26,FC Sochaux,Ligue 1,Toulouse,Ligue 1,05-06,6500000,3000000
Aruna Dindane,Forward,24,RSC Anderlecht,Jupiler Pro League,Lens,Ligue 1,05-06,5000000,3000000
Albert Riera,Midfielder,23,G. Bordeaux,Ligue 1,Espanyol,LaLiga,05-06,4750000,3000000
Alou Diarra,Midfielder,23,Liverpool,Premier League,Lens,Ligue 1,05-06,4000000,3000000
Frédéric Piquionne,Forward,26,Stade Rennais,Ligue 1,Saint-Étienne,Ligue 1,05-06,4000000,3000000
Pascal Feindouno,Midfielder,24,G. Bordeaux,Ligue 1,Saint-Étienne,Ligue 1,05-06,4000000,3000000
Fabrice Pancrate,Midfielder,25,Le Mans,Ligue 1,Paris SG,Ligue 1,05-06,4000000,3000000
Grzegorz Rasiak,Forward,26,Spurs,Premier League,Southampton,Championship,05-06,3500000,3000000
Andrew O'Brien,Defender,26,Newcastle,Premier League,Portsmouth,Premier League,05-06,3500000,3000000
Abou Diaby,Midfielder,19,AJ Auxerre,Ligue 1,Arsenal,Premier League,05-06,3000000,3000000
Mohamed Zidan,Forward,23,FC Midtjylland,Superligaen,Werder Bremen,1.Bundesliga,05-06,3000000,3000000
Erik Edman,Defender,26,Spurs,Premier League,Stade Rennais,Ligue 1,05-06,3000000,3000000
David Rozehnal,Defender,25,Club Brugge,Jupiler Pro League,Paris SG,Ligue 1,05-06,2500000,3000000
Sergey Semak,Midfielder,29,Paris SG,Ligue 1,FK Moskau,Premier Liga,05-06,2500000,3000000
Hossam Ghaly,Midfielder,24,Feyenoord,Eredivisie,Spurs,Premier League,05-06,2500000,3000000
Moumouni Dagano,Forward,24,Guingamp,Ligue 2,FC Sochaux,Ligue 1,05-06,2500000,3000000
Luis García,Midfielder,24,RCD Mallorca,LaLiga,Espanyol,LaLiga,05-06,2500000,3000000
Marcus Bent,Forward,27,Everton,Premier League,Charlton,Premier League,05-06,2250000,3000000
Wayne Routledge,Midfielder,20,Crystal Palace,Championship,Spurs,Premier League,05-06,2250000,3000000
Emir Spahic,Defender,25,Torpedo Moscow,Premier Liga,Loko Moscow,Premier Liga,05-06,2000000,3000000
David Connolly,Forward,28,Leicester,Championship,Wigan,Premier League,05-06,2000000,3000000
Leonardo Pisculichi,Midfielder,21,Argentinos,Torneo Final,RCD Mallorca,LaLiga,05-06,1750000,3000000
Claudio Maldonado,Midfielder,26,Cruzeiro,Série A,Santos FC,Série A,05-06,1500000,3000000
Carlos Vela,Midfielder,16,Chivas, Mexico,Arsenal,Premier League,05-06,1000000,3000000
Alessandro Gamberini,Defender,23,Bologna,Serie B,Fiorentina,Serie A,05-06,300000,3000000
Abdul Kader Keita,Midfielder,23,Al Sadd, Qatar,LOSC Lille,Ligue 1,05-06,NA,3000000
Amr Zaki,Forward,22,Enppi,Premier League,Loko Moscow,Premier Liga,05-06,NA,3000000
Sebastián Taborda,Forward,24,Defensor, Uruguay,Dep. La Coruña,LaLiga,05-06,NA,3000000
Aleksandr Anyukov,Defender,22,KS Samara,Premier Liga,Zenit S-Pb,Premier Liga,05-06,NA,3000000
Leandro Fernández,Defender,22,River Plate,Torneo Final,Dinamo Moscow,Premier Liga,05-06,NA,3000000
Aritz Aduriz,Forward,24,Real Valladolid,LaLiga2,Athletic Bilbao,LaLiga,05-06,NA,3000000
Mikel Arteta,Midfielder,23,Real Sociedad,LaLiga,Everton,Premier League,05-06,8000000,2800000
Emanuel Pogatetz,Defender,22,Bay. Leverkusen,1.Bundesliga,Middlesbrough,Premier League,05-06,3000000,2710000
Jon Stead,Forward,22,Blackburn,Premier League,Sunderland,Premier League,05-06,3000000,2700000
Julio dos Santos,Midfielder,22,Cerro Porteño, Paraguay,Bayern Munich ,1.Bundesliga,05-06,2000000,2700000
Yaya Touré,Midfielder,22,Metalurh D.,Premier Liga,Olympiacos,Super League,05-06,2000000,2700000
Dennis Oliech,Midfielder,20,Al Arabi, Qatar,FC Nantes,Ligue 1,05-06,NA,2700000
Ade Akinbiyi,Forward,31,Burnley,Championship,Sheffield Utd.,Championship,05-06,2750000,2630000
Kléberson,Midfielder,26,Man Utd,Premier League,Besiktas,Süper Lig,05-06,5500000,2600000
Enzo Maresca,Midfielder,25,Juventus,Serie A,Sevilla FC,LaLiga,05-06,7500000,2500000
França,Forward,29,Bay. Leverkusen,1.Bundesliga,Kashiwa Reysol,J1 League,05-06,5000000,2500000
Luis Jiménez,Midfielder,21,Ternana,Serie B,Fiorentina,Serie A,05-06,4000000,2500000
Shinji Ono,Midfielder,26,Feyenoord,Eredivisie,Urawa Reds,J1 League,05-06,3750000,2500000
Wesley Sonck,Forward,26,AFC Ajax,Eredivisie,Bor. M'gladbach,1.Bundesliga,05-06,3500000,2500000
Thimothée Atouba,Defender,23,Spurs,Premier League,Hamburger SV,1.Bundesliga,05-06,3000000,2500000
Nicolás Frutos,Forward,24,Independiente,Torneo Final,RSC Anderlecht,Jupiler Pro League,05-06,3000000,2500000
Lukas Zelenka,Midfielder,26,Sparta Praha,HET Liga,Manisaspor,Süper Lig,05-06,2500000,2500000
Nuno Espírito Santo,Goalkeeper,31,FC Porto,Liga NOS,Dinamo Moscow,Premier Liga,05-06,2500000,2500000
Takayuki Suzuki,Forward,29,Kashima Antlers,J1 League,Red Star,SuperLiga,05-06,2500000,2500000
Bakari Koné,Midfielder,23,FC Lorient,Ligue 2,OGC Nice,Ligue 1,05-06,2250000,2500000
Luciano Galletti,Midfielder,25,Real Zaragoza,LaLiga,Atlético Madrid,LaLiga,05-06,2000000,2500000
Nunes,Defender,28,Braga,Liga NOS,RCD Mallorca,LaLiga,05-06,1500000,2500000
Mark González,Midfielder,20,Albacete,LaLiga2,Liverpool,Premier League,05-06,1500000,2500000
Ron Vlaar,Defender,20,AZ Alkmaar,Eredivisie,Feyenoord,Eredivisie,05-06,1500000,2500000
Morten Skoubo,Forward,25,Bröndby IF,Superligaen,Real Sociedad,LaLiga,05-06,1250000,2500000
Jorge Luís,Defender,29,Braga,Liga NOS,Dinamo Moscow,Premier Liga,05-06,1000000,2500000
Bostjan Cesar,Defender,22,Dinamo Zagreb,1.HNL,Marseille,Ligue 1,05-06,1000000,2500000
Quincy Owusu-Abeyie,Midfielder,19,Arsenal,Premier League,Spartak Moscow,Premier Liga,05-06,750000,2500000
Edixon Perea,Forward,21,Atl. Nacional, Colombia,G. Bordeaux,Ligue 1,05-06,NA,2500000
Felipe,Midfielder,27,Fluminense,Série A,Al Sadd, Qatar,05-06,NA,2500000
Federico Insúa,Midfielder,25,Independiente,Torneo Final,Boca Juniors,Torneo Final,05-06,4500000,2480000
Naldo,Defender,22,Juventude,Série A,Werder Bremen,1.Bundesliga,05-06,2750000,2400000
Garry O'Connor,Forward,22,Hibernian FC,Premiership,Loko Moscow,Premier Liga,05-06,2000000,2400000
Jhon Viáfara,Midfielder,26,Once Caldas, Colombia,Portsmouth,Premier League,05-06,NA,2400000
Lisandro López,Forward,22,Racing Club,Torneo Final,FC Porto,Liga NOS,05-06,5500000,2300000
Michael Brown,Midfielder,28,Spurs,Premier League,Fulham,Premier League,05-06,3000000,2300000
Sören Larsen,Forward,23,Djurgarden,Allsvenskan,FC Schalke 04,1.Bundesliga,05-06,NA,2300000
Nolberto Solano,Midfielder,31,Aston Villa,Premier League,Newcastle,Premier League,05-06,5000000,2250000
Paul Konchesky,Defender,24,Charlton,Premier League,West Ham,Premier League,05-06,3500000,2250000
Diomansy Kamara,Midfielder,24,Modena,Serie B,West Brom,Premier League,05-06,2500000,2250000
Darren Carter,Midfielder,21,Birmingham,Premier League,West Brom,Premier League,05-06,2250000,2250000
Marek Heinz,Forward,28,Bor. M'gladbach,1.Bundesliga,Galatasaray,Süper Lig,05-06,1500000,2250000
